"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"MAG","MAG Silver Corporation","12.47","$1.14B","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/mag",
"MHH","Mastech Digital, Inc","18.44","$206.66M","n/a","Consumer Services","Professional Services","https://old.nasdaq.com/symbol/mhh",
"MTNB","Matinas Biopharma Holdings, Inc.","0.9","$177.74M","2017","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/mtnb",
"MMX","Maverix Metals Inc.","4.65","$556.87M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/mmx",
"IPB","Merrill Lynch & Co., Inc. 6.0518% Index Plus Trust Certificate","28.15","n/a","n/a","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/ipb",
"MTA","Metalla Royalty & Streaming Ltd.","5.93","$206.99M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/mta",
"MXC","Mexco Energy Corporation","2.99","$6.1M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/mxc",
"MLSS","Milestone Scientific, Inc.","1.84","$101.98M","2015","Health Care","Industrial Specialties","https://old.nasdaq.com/symbol/mlss",
"MYO","Myomo Inc.","3.76","$10.58M","2017","Health Care","Industrial Specialties","https://old.nasdaq.com/symbol/myo",
"NNVC","NanoViricides, Inc.","7.52","$68.37M","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://old.nasdaq.com/symbol/nnvc",
"ATEST","NASDAQ TEST STOCK","27.52","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/atest",
"ATEST.A","NASDAQ TEST STOCK","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/atest.a",
"ATEST.B","NASDAQ TEST STOCK","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/atest.b",
"ATEST.C","NASDAQ TEST STOCK","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/atest.c",
"NHC","National HealthCare Corporation","67.07","$1.03B","n/a","Health Care","Hospital/Nursing Management","https://old.nasdaq.com/symbol/nhc",
"NAVB","Navidea Biopharmaceuticals, Inc.","2.62","$56.71M","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://old.nasdaq.com/symbol/navb",
"NTIP","Network-1 Technologies, Inc.","2.22","$53.15M","n/a","Miscellaneous","Multi-Sector Companies","https://old.nasdaq.com/symbol/ntip",
"NBW","Neuberger Berman California Municipal Fund Inc","12.75","$70.78M","2002","n/a","n/a","https://old.nasdaq.com/symbol/nbw",
"NHS","Neuberger Berman High Yield Strategies Fund","10.72","$209.48M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/nhs",
"NML","Neuberger Berman MLP and Energy Income Fund Inc.","3.12","$176.78M","2013","n/a","n/a","https://old.nasdaq.com/symbol/nml",
"NBH","Neuberger Berman Municipal Fund Inc.","14.13","$265.73M","2002","n/a","n/a","https://old.nasdaq.com/symbol/nbh",
"NBO","Neuberger Berman New York Municipal Fund Inc.","11.4","$57.88M","2002","n/a","n/a","https://old.nasdaq.com/symbol/nbo",
"NRO","Neuberger Berman Real Estate Securities Income Fund, Inc.","3.47","$164.55M","2003","n/a","n/a","https://old.nasdaq.com/symbol/nro",
"GBR","New Concept Energy, Inc","0.94","$4.82M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/gbr",
"NEN","New England Realty Associates Limited Partnership","50.13","$183.11M","n/a","Consumer Services","Building operators","https://old.nasdaq.com/symbol/nen",
"NGD","New Gold Inc.","1.21","$817.98M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/ngd",
"NXE","Nexgen Energy Ltd.","1.4","$504.35M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/nxe",
"NAK","Northern Dynasty Minerals, Ltd.","1.3","$586.31M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/nak",
"NOG","Northern Oil and Gas, Inc.","0.7793","$316.24M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/nog",
"NBY","NovaBay Pharmaceuticals, Inc.","0.845","$24.35M","2007","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/nby",
"NG","Novagold Resources Inc.","9.56","$3.14B","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/ng",
"NTN","NTN Buzztime, Inc.","1.12","$3.29M","n/a","Consumer Services","Broadcasting","https://old.nasdaq.com/symbol/ntn",
"NES","Nuverra Environmental Solutions, Inc.","1.47","$23.17M","2017","Energy","Oilfield Services/Equipment","https://old.nasdaq.com/symbol/nes",
"OBLG","Oblong Inc.","1.05","$5.47M","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/oblg",
"OCX","OncoCyte Corporation","2.76","$185.52M","2015","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://old.nasdaq.com/symbol/ocx",
"OGEN","Oragenics Inc.","0.5649","$31.27M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/ogen",
"PCG^A","Pacific Gas & Electric Co.","28.58","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pcg^a",
"PCG^B","Pacific Gas & Electric Co.","26.5","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pcg^b",
"PCG^C","Pacific Gas & Electric Co.","24","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pcg^c",
"PCG^D","Pacific Gas & Electric Co.","24","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pcg^d",
"PCG^E","Pacific Gas & Electric Co.","23.3","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pcg^e",
"PCG^G","Pacific Gas & Electric Co.","23.06","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pcg^g",
"PCG^H","Pacific Gas & Electric Co.","22.25","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pcg^h",
"PCG^I","Pacific Gas & Electric Co.","22","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pcg^i",
"PTN","Palatin Technologies, Inc.","0.5069","$116.21M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/ptn",
"PZG","Paramount Gold Nevada Corp.","1.12","$31.11M","2015","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/pzg",
"PRK","Park National Corporation","74.87","$1.22B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/prk",
"PED","Pedevco Corp.","0.76","$54.06M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/ped",
"PFNX","Pfenex Inc.","7.31","$250.67M","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/pfnx",
"HNW","Pioneer Diversified High Income Trust","11.73","$97.74M","2007","n/a","n/a","https://old.nasdaq.com/symbol/hnw",
"PLAG","Planet Green Holdings Corp","2.355","$21.73M","n/a","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/plag",
"PLG","Platinum Group Metals Ltd.","1.5","$93.52M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/plg",
"PLYM^A","Plymouth Industrial REIT, Inc.","25.5","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/plym^a",
"PLM","Polymet Mining Corp.","0.2438","$245.34M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/plm",
"PW","Power REIT","23.37","$44.71M","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/pw",
"PW^A","Power REIT","26.9999","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pw^a",
"PLX","Protalix BioTherapeutics, Inc.","3.34","$108.36M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/plx",
"RLGT","Radiant Logistics, Inc.","3.99","$197.09M","n/a","Transportation","Oil Refining/Marketing","https://old.nasdaq.com/symbol/rlgt",
"UTG","Reaves Utility Income Fund","33.33","$1.63B","2004","n/a","n/a","https://old.nasdaq.com/symbol/utg",
"RHE","Regional Health Properties, Inc.","1.23","$2.08M","2017","Health Care","Hospital/Nursing Management","https://old.nasdaq.com/symbol/rhe",
"RHE^A","Regional Health Properties, Inc.","2","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/rhe^a",
"RCG","RENN Fund, Inc.","1.26","$7.5M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/rcg",
"RVP","Retractable Technologies, Inc.","5.44","$177.79M","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/rvp",
"REI","Ring Energy, Inc.","1.19","$80.89M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/rei",
"RIF","RMR Real Estate Income Fund","11.58","$118.14M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/rif",
"SACC","Sachem Capital Corp.","22.5018","n/a","2019","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/sacc",
"SACH","Sachem Capital Corp.","2.89","$63.92M","2017","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/sach",
"SCCB","Sachem Capital Corp.","23.1","n/a","2019","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/sccb",
"SNMP","Sanchez Midstream Partners LP","0.3241","$6.47M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/snmp",
"SEB","Seaboard Corporation","2940","$3.41B","1996","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/seb",
"SENS","Senseonics Holdings, Inc.","0.4667","$104.14M","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/sens",
"SVT","Servotronics, Inc.","7.8","$19.32M","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/svt",
"SMTS","Sierra Metals Inc.","0.7964","$129.66M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/smts",
"SIF","SIFCO Industries, Inc.","3.6","$21.3M","n/a","Capital Goods","Aerospace","https://old.nasdaq.com/symbol/sif",
"SVM","Silvercorp Metals Inc.","4.42","$768.27M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/svm",
"SILV","SilverCrest Metals Inc.","8.93","$1.14B","2018","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/silv",
"XPL","Solitario Zinc Corp.","0.3125","$18.17M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/xpl",
"SCE^B","Southern California Edison Company","22.3","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/sce^b",
"SCE^C","Southern California Edison Company","23.74","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/sce^c",
"SCE^D","Southern California Edison Company","22.82","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/sce^d",
"SCE^E","Southern California Edison Company","23.8736","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/sce^e",
"LOV","Spark Networks, Inc.","2.99","$38.83M","2017","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/lov",
"SDI","Standard Diversified Inc.","12.84","$212.93M","n/a","Consumer Non-Durables","Tobacco","https://old.nasdaq.com/symbol/sdi",
"STXS","Stereotaxis, Inc.","4.13","$285.14M","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://old.nasdaq.com/symbol/stxs",
"SSY","SunLink Health Systems, Inc.","0.8496","$5.86M","n/a","Health Care","Hospital/Nursing Management","https://old.nasdaq.com/symbol/ssy",
"SDPI","Superior Drilling Products, Inc.","0.7571","$19.26M","2014","Energy","Metal Fabrications","https://old.nasdaq.com/symbol/sdpi",
"SYN","Synthetic Biologics, Inc","0.3964","$7.24M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/syn",
"TKAT","Takung Art Co., Ltd.","1.38","$15.53M","n/a","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/tkat",
"TALO.WS","Talos Energy, Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/talo.ws",
"TRX","Tanzanian Gold Corporation","0.8498","$136.39M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/trx",
"TGB","Taseko Mines Limited","0.3971","$97.76M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/tgb",
"TGC","Tengasco, Inc.","0.537","$5.73M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/tgc",
"GLU","The Gabelli Global Utility and Income Trust","15.7","$84.3M","2004","n/a","n/a","https://old.nasdaq.com/symbol/glu",
"GLU^A","The Gabelli Global Utility and Income Trust","48","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/glu^a",
"GLU^B","The Gabelli Global Utility and Income Trust","51.5495","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/glu^b",
"GGO","The Gabelli Go Anywhere Trust","8.8507","$13.72M","2016","n/a","n/a","https://old.nasdaq.com/symbol/ggo",
"GGO^A","The Gabelli Go Anywhere Trust","40.8516","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ggo^a",
"TDW.WS","Tidewater Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/tdw.ws",
"TMBR","Timber Pharmaceuticals, Inc.","2.7","$49.35M","2015","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/tmbr",
"TMP","Tompkins Financial Corporation","64.35","$959.28M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/tmp",
"TAT","Transatlantic Petroleum Ltd","0.2273","$14.17M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/tat",
"TRXC","TransEnterix, Inc.","0.4233","$21.94M","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/trxc",
"TMQ","Trilogy Metals Inc.","1.88","$264.45M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/tmq",
"TPHS","Trinity Place Holdings Inc.","1.72","$55.38M","n/a","Consumer Services","Building operators","https://old.nasdaq.com/symbol/tphs",
"TRT","Trio-Tech International","2.84","$10.43M","n/a","Technology","Industrial Machinery/Components","https://old.nasdaq.com/symbol/trt",
"UFAB","Unique Fabricating, Inc.","3.2299","$31.59M","2015","Capital Goods","Auto Parts:O.E.M.","https://old.nasdaq.com/symbol/ufab",
"UAMY","United States Antimony Corporation","0.3339","$23.34M","n/a","Capital Goods","Metal Fabrications","https://old.nasdaq.com/symbol/uamy",
"UUU","Universal Security Instruments, Inc.","0.606","$1.4M","n/a","Technology","Electronic Components","https://old.nasdaq.com/symbol/uuu",
"URG","Ur Energy Inc","0.579","$92.92M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/urg",
"UEC","Uranium Energy Corp.","1.05","$193.11M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/uec",
"VHC","VirnetX Holding Corp","6.65","$471.07M","n/a","Miscellaneous","Multi-Sector Companies","https://old.nasdaq.com/symbol/vhc",
"VGZ","Vista Gold Corporation","0.903","$90.93M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/vgz",
"VNRX","VolitionRX Limited","3.08","$142.38M","2015","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://old.nasdaq.com/symbol/vnrx",
"VOLT","Volt Information Sciences, Inc.","0.8701","$18.63M","n/a","Technology","Professional Services","https://old.nasdaq.com/symbol/volt",
"EAD","Wells Fargo Income Opportunities Fund","7.13","$434.89M","2003","n/a","n/a","https://old.nasdaq.com/symbol/ead",
"ERC","Wells Fargo Multi-Sector Income Fund","10.47","$320.11M","2003","n/a","n/a","https://old.nasdaq.com/symbol/erc",
"ERH","Wells Fargo Utilities and High Income Fund","13.36","$123.85M","2004","n/a","n/a","https://old.nasdaq.com/symbol/erh",
"WRN","Western Copper and Gold Corporation","0.7901","$87.43M","2011","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/wrn",
"WYY","WidePoint Corporation","0.57","$47.79M","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/wyy",
"WTT","Wireless Telecom Group,  Inc.","1.01","$21.86M","n/a","Capital Goods","Electrical Products","https://old.nasdaq.com/symbol/wtt",
"XTNT","Xtant Medical Holdings, Inc.","1.23","$16.26M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/xtnt",
"ZDGE","Zedge, Inc.","1.11","$13.54M","2016","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/zdge",
"ZOM","Zomedica Pharmaceuticals Corp.","0.1577","$17.04M","2017","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/zom",
